,wavelength_nm,irradiance_combined_measured,irradiance_A1E1_plus_A2E2,delta_measured_minus_fit
0,300.0,0.971040554464149,1.044370360407115,-0.07332980594296601
1,301.0,0.978810110644155,1.0525700635228477,-0.07375995287869264
2,302.0,0.986579666824161,1.0607697666385805,-0.07419009981441949
3,303.0,0.9943492230041671,1.068969469754313,-0.074620246750146
4,304.0,1.002118779184173,1.0771691728700454,-0.07505039368587241
5,305.0,1.009888335364179,1.0853688759857782,-0.07548054062159926
6,306.0,1.017451487515152,1.093317012996696,-0.07586552548154413
7,307.0,1.0250146396661248,1.1012651500076134,-0.07625051034148855
8,308.0,1.0325777918170977,1.1092132870185312,-0.07663549520143342
9,309.0,1.0401409439680707,1.1171614240294487,-0.07702048006137807
10,310.0,1.0477040961190436,1.1251095610403667,-0.07740546492132316
11,311.0,1.055047477900351,1.1327892098058492,-0.07774173190549827
12,312.0,1.0623908596816583,1.1404688585713314,-0.07807799888967315
13,313.0,1.0697342414629658,1.1481485073368138,-0.07841426587384803
14,314.0,1.0770776232442731,1.155828156102296,-0.07875053285802291
15,315.0,1.0844210050255805,1.1635078048677785,-0.07908679984219802
16,316.0,1.0915335615151391,1.1709045307931147,-0.0793709692779756
17,317.0,1.0986461180046978,1.178301256718451,-0.07965513871375318
18,318.0,1.1057586744942562,1.1856979826437872,-0.07993930814953099
19,319.0,1.112871230983815,1.1930947085691237,-0.08022347758530879
20,320.0,1.1199837874733736,1.20049143449446,-0.08050764702108637
21,321.0,1.1268566524174972,1.2075931782071123,-0.0807365257896151
22,322.0,1.1337295173616209,1.214694921919765,-0.08096540455814405
23,323.0,1.1406023823057443,1.2217966656324173,-0.081194283326673
24,324.0,1.147475247249868,1.2288984093450697,-0.08142316209520173
25,325.0,1.1543481121939916,1.2360001530577223,-0.08165204086373068
26,326.0,1.160974473896854,1.2427971057727472,-0.08182263187589323
27,327.0,1.167600835599716,1.2495940584877718,-0.08199322288805577
28,328.0,1.1742271973025784,1.2563910112027967,-0.08216381390021832
29,329.0,1.1808535590054405,1.2631879639178214,-0.08233440491238087
30,330.0,1.1874799207083029,1.2699849166328463,-0.08250499592454341
31,331.0,1.1938548800960522,1.2764693867318155,-0.08261450663576331
32,332.0,1.2002298394838016,1.2829538568307848,-0.0827240173469832
33,333.0,1.2066047988715511,1.2894383269297542,-0.0828335280582031
34,334.0,1.2129797582593005,1.2959227970287233,-0.08294303876942277
35,335.0,1.2193547176470498,1.3024072671276925,-0.08305254948064267
36,336.0,1.2254751416022927,1.3085735410244927,-0.0830983994222001
37,337.0,1.2315955655575357,1.314739814921293,-0.0831442493637573
38,338.0,1.2377159895127785,1.320906088818093,-0.08319009930531451
39,339.0,1.2438364134680215,1.3270723627148933,-0.08323594924687172
40,340.0,1.2499568374232644,1.3332386366116935,-0.08328179918842915
41,341.0,1.2558212100653274,1.3390828365519771,-0.0832616264866497
42,342.0,1.2616855827073905,1.344927036492261,-0.08324145378487047
43,343.0,1.2675499553494534,1.3507712364325444,-0.08322128108309101
44,344.0,1.2734143279915164,1.356615436372828,-0.08320110838131156
45,345.0,1.2792787006335795,1.3624596363131118,-0.08318093567953233
46,346.0,1.284886974824496,1.3679795773571015,-0.08309260253260553
47,347.0,1.2904952490154125,1.3734995184010916,-0.08300426938567917
48,348.0,1.2961035232063292,1.3790194594450813,-0.08291593623875215
49,349.0,1.3017117973972456,1.3845394004890714,-0.0828276030918258
50,350.0,1.307320071588162,1.390059341533061,-0.082739269944899
51,351.0,1.3126735225774449,1.3952543896067933,-0.08258086702934841
52,352.0,1.3180269735667278,1.4004494376805259,-0.08242246411379806
53,353.0,1.3233804245560106,1.405644485754258,-0.08226406119824747
54,354.0,1.3287338755452935,1.4108395338279904,-0.08210565828269689
55,355.0,1.3340873265345763,1.4160345819017224,-0.08194725536714609
56,356.0,1.3391884093197435,1.4209055144710934,-0.08171710515134989
57,357.0,1.3442894921049104,1.4257764470404644,-0.08148695493555391
58,358.0,1.3493905748900776,1.4306473796098351,-0.08125680471975749
59,359.0,1.3544916576752446,1.4355183121792061,-0.08102665450396151
60,360.0,1.3595927404604118,1.4403892447485769,-0.0807965042881651
61,361.0,1.36444495213584,1.444938115373874,-0.08049316323803413
62,362.0,1.369297163811268,1.449486985999171,-0.08018982218790294
63,363.0,1.3741493754866962,1.4540358566244682,-0.07988648113777197
64,364.0,1.3790015871621244,1.458584727249765,-0.07958314008764056
65,365.0,1.3838537988375526,1.4631335978750621,-0.07927979903750959
66,366.0,1.3884615469315544,1.4673636056402986,-0.07890205870874412
67,367.0,1.3930692950255563,1.4715936134055352,-0.07852431837997886
68,368.0,1.3976770431195582,1.4758236211707718,-0.07814657805121361
69,369.0,1.40228479121356,1.4800536289360084,-0.07776883772244836
70,370.0,1.406892539307562,1.4842836367012449,-0.07739109739368288
71,371.0,1.4112610168657473,1.4881990012810755,-0.07693798441532818
72,372.0,1.4156294944239327,1.4921143658609066,-0.07648487143697391
73,373.0,1.4199979719821179,1.4960297304407373,-0.07603175845861943
74,374.0,1.4243664495403032,1.4999450950205684,-0.07557864548026516
75,375.0,1.4287349270984886,1.503860459600399,-0.07512553250191045
76,376.0,1.4328699950592834,1.5074663025259079,-0.07459630746662449
77,377.0,1.4370050630200781,1.5110721454514167,-0.07406708243133853
78,378.0,1.441140130980873,1.5146779883769255,-0.07353785739605256
79,379.0,1.4452751989416677,1.5182838313024343,-0.0730086323607666
80,380.0,1.4494102669024624,1.5218896742279429,-0.07247940732548042
81,381.0,1.453318344126335,1.525191906738901,-0.07187356261256594
82,382.0,1.4572264213502077,1.528494139249859,-0.07126771789965125
83,383.0,1.4611344985740804,1.531796371760817,-0.07066187318673656
84,384.0,1.465042575797953,1.5350986042717751,-0.07005602847382209
85,385.0,1.4689506530218257,1.5384008367827329,-0.06945018376090717
86,386.0,1.4726386141774175,1.541406054505757,-0.06876744032833959
87,387.0,1.4763265753330093,1.544411272228781,-0.06808469689577179
88,388.0,1.4800145364886013,1.547416489951805,-0.06740195346320377
89,389.0,1.483702497644193,1.5504217076748292,-0.06671921003063619
90,390.0,1.4873904587997848,1.5534269253978532,-0.06603646659806839
91,391.0,1.4908655401757311,1.5561423099649045,-0.0652767697891734
92,392.0,1.4943406215516772,1.5588576945319566,-0.06451707298027931
93,393.0,1.4978157029276236,1.561573079099008,-0.06375737617138455
94,394.0,1.5012907843035697,1.5642884636660601,-0.06299767936249046
95,395.0,1.504765865679516,1.5670038482331117,-0.062237982553595694
96,396.0,1.5080355788780453,1.5694370758505258,-0.06140149697248054
97,397.0,1.5113052920765746,1.5718703034679404,-0.06056501139136583
98,398.0,1.5145750052751041,1.5743035310853546,-0.059728525810250455
99,399.0,1.5178447184736334,1.5767367587027692,-0.058892040229135745
100,400.0,1.5211144316721628,1.5791699863201833,-0.05805555464802059
101,401.0,1.5241864850475602,1.5813291432127168,-0.05714265816515662
102,402.0,1.5272585384229578,1.5834883001052502,-0.056229761682292434
103,403.0,1.5303305917983552,1.5856474569977839,-0.05531686519942869
104,404.0,1.5334026451737528,1.5878066138903173,-0.0544039687165645
105,405.0,1.5364746985491502,1.5899657707828507,-0.05349107223370053
106,406.0,1.539356926178717,1.591859275367869,-0.05250234918915209
107,407.0,1.5422391538082836,1.5937527799528877,-0.051513626144604086
108,408.0,1.5451213814378504,1.595646284537906,-0.05052490310005564
109,409.0,1.548003609067417,1.5975397891229246,-0.04953618005550764
110,410.0,1.5508858366969838,1.599433293707943,-0.048547457010959194
111,411.0,1.5535861346122517,1.6010698252998012,-0.04748369068754954
112,412.0,1.5562864325275196,1.6027063568916595,-0.046419924364139886
