wavelength_nm,irradiance,irradiance_uncertainty
300.0,0.9660080379506486,0.014490120569259728
305.0,1.003866103255132,0.015057991548826978
310.0,1.0405485900349893,0.01560822885052484
315.0,1.0759761920628534,0.0161396428809428
320.0,1.1100811082462398,0.016651216623693597
325.0,1.1428065312249753,0.01714209796837463
330.0,1.1741060789950621,0.01761159118492593
335.0,1.203943185744646,0.01805914778616969
340.0,1.2322904660109093,0.01848435699016364
345.0,1.2591290643042197,0.018886935964563294
350.0,1.284448000521018,0.019266720007815267
355.0,1.3082435197929514,0.01962365279689427
360.0,1.3305184539028312,0.019957776808542466
365.0,1.3512816000384724,0.020269224000577086
370.0,1.3705471214497233,0.02055820682174585
375.0,1.3883339735148716,0.020825009602723075
380.0,1.4046653578017203,0.021069980367025804
385.0,1.4195682059154007,0.02129352308873101
390.0,1.4330726942488075,0.02149609041373211
395.0,1.4452117901815154,0.02167817685272273
400.0,1.4560208297978416,0.021840312446967623
405.0,1.465537126804253,0.021983056902063793
410.0,1.4737996120103176,0.022106994180154764
415.0,1.4808485024865492,0.02221272753729824
420.0,1.4867249993182905,0.022300874989774358
425.0,1.4914710127292423,0.022372065190938633
430.0,1.4951289132442565,0.022426933698663845
435.0,1.4977413074922614,0.02246611961238392
440.0,1.4993508372109412,0.022490262558164116
445.0,1.5,0.0225
450.0,1.499730990375199,0.022495964855627985
455.0,1.4985855596968847,0.02247878339545327
460.0,1.4966048935812564,0.022449073403718843
465.0,1.4938295054471256,0.022407442581706884
470.0,1.4902991449031175,0.022354487173546763
475.0,1.4860527197379367,0.02229079079606905
480.0,1.4811282303378184,0.022216923455067275
485.0,1.4755627154191076,0.022133440731286612
490.0,1.4693922080288528,0.022040883120432793
495.0,1.4626517008313962,0.021939775512470942
500.0,1.4553751197632856,0.021830626796449284
505.0,1.4475953052021064,0.021713929578031595
510.0,1.4393439998559487,0.02159015999783923
515.0,1.4306518426395474,0.02145977763959321
520.0,1.421548367859705,0.021323225517895575
525.0,1.4120620090867007,0.02118093013630051
530.0,1.4022201071396052,0.021033301607094077
535.0,1.3920489216618999,0.020880733824928496
540.0,1.3815736458092702,0.020723604687139054
545.0,1.370818423614205,0.020562276354213073
550.0,1.3598063696319198,0.020397095544478796
555.0,1.348559590509263,0.020228393857638947
560.0,1.3370992081528512,0.020056488122292767
565.0,1.3254453842046434,0.01988168076306965
570.0,1.3136173455627391,0.019704260183441086
575.0,1.3016334107124776,0.019524501160687165
580.0,1.2895110166579729,0.019342665249869592
585.0,1.277266746267304,0.01915900119400956
590.0,1.264916355865617,0.018973745337984252
595.0,1.252474802929751,0.018787122043946263
600.0,1.239956273755547,0.018599344106333203
605.0,1.2273742109850776,0.018410613164776164
610.0,1.2147413408955388,0.01822112011343308
615.0,1.2020697003648233,0.01803104550547235
620.0,1.189370663440684,0.017840559951610258
625.0,1.176654967451237,0.017649824511768553
630.0,1.1639327386042617,0.017458991079063926
635.0,1.1512135170315028,0.017268202755472542
640.0,1.1385062812420572,0.017077594218630858
645.0,1.125819471955896,0.01688729207933844
650.0,1.1131610152949123,0.016697415229423685
655.0,1.1005383453143924,0.016508075179715885
660.0,1.0879584258628239,0.01631937638794236
665.0,1.0754277717622915,0.01613141657643437
670.0,1.0629524693055863,0.015944287039583793
675.0,1.0505381960695443,0.015758072941043165
680.0,1.038190240047086,0.015572853600706288
685.0,1.0259135181029988,0.015388702771544981
690.0,1.0137125937607465,0.015205688906411198
695.0,1.0015916943294763,0.015023875414942144
700.0,0.9895547273820381,0.014843320910730571
705.0,0.9776052965962023,0.014664079448943034
710.0,0.9657467169723983,0.014486200754585975
715.0,0.953982029442246,0.01430973044163369
720.0,0.9423140148829148,0.01413471022324372
725.0,0.9307452075529286,0.013961178113293927
730.0,0.91927790796551,0.01378916861948265
735.0,0.9079141952158647,0.01361871292823797
740.0,0.8966559387790305,0.013449839081685457
745.0,0.8855048097950391,0.013282572146925586
